HSB_1_250	Lampa, běłu swěcu, prošu.
HSB_3_202	Tež dalše hrajkanske nastroje dyrbja so ponowić.
HSB_3_203	Pčołka na łuce čuje so wot pesticidow wohrožena.
HSB_3_204	Cyrkwje a nabožne zhromadźenstwa su wažni partnerojo za spomóžne zhromadne žiwjenje w měsće.
HSB_3_205	Ja stajach wšitko do kamora a dźěch na dźěło.
HSB_3_206	Tež požadanje jako přidružnik je móžne.
HSB_3_207	Krajnoradny zarjad bě tehdy swoje wustawki za šulerski transport změnił.
HSB_3_208	Wój stej žabu w Sewjernym polarnym morju widźałoj.
HSB_3_209	To dźěćom w serbskej rěči prajene čini pčołarka tež staršim zrozumliwe.
HSB_3_210	Na Ćišćanskim statoku wonješe přijomnje za čerstwym samopječenym chlěbom ze z drjewom tepjeneje pjecy.
HSB_3_211	Hdyž wona jeho namaka, rozprawja jemu wo smjerći bratra.
HSB_3_212	Kóčka na ławce łaka a na ptačka čaka.
HSB_3_213	W Lipju steji tež pomnik wulkeho syna wsy.
HSB_3_214	Ja zalězu na rěbl a wój podawataj mi graty.
HSB_3_215	To su resursy a wobswět, kubłanje, politiske sobupostajowanje a swójske zarjadnistwo.
HSB_3_216	Kóždy hłós je wažny.
HSB_3_217	Na wokrjesnej runinje měło to hłownohamtske dźěłowe městno być.
HSB_3_218	Termin zetkanja w tutym lěće běše spočatk nowembra.
HSB_3_219	Po masteru pytaše sej dźěło a bydlenje w Drježdźanach.
HSB_3_220	Nastupajo ryzy twarski wotběh smy w planje.
HSB_3_221	Zwjazkowe knježerstwo njemóže so dotal na zasadne rjadowanje dojednać.
HSB_3_222	Tuž móže na kóždeho němsce rěčaceho kedźbu brać.
HSB_3_223	Wšo dalše rjaduje krajny rada z přihłosowanjom zawodoweho wuběrka přez jednanski porjad.
HSB_3_224	Snano je to dobra składnosć, raz kamory a polcy w swojej stwě přehladać.
HSB_3_225	Młodźinski klub pomha stan natwarić.
HSB_3_226	Hnydom wokoło róžka pola Zahrodnikec swójby stejachu běrny w srjedźišću.
HSB_3_227	Tež ći najmłódši maja ze swójskim programom krute městno na festiwalu.
HSB_3_228	Čehodla myslimy při zmjerzlinje poprawom tak husto na Italsku?
HSB_3_229	Wón ma Serbow zbližić, jich w narodnym, duchownym a hospodarskim prócowanju podpěrać.
HSB_3_231	Po słowach wjesnjanosty pak njeje to hišće kónc inwesticijow.
HSB_3_232	Při tym skutkuje tež jako awtorka při wuwiwanju interaktiwnych nadawkow.
HSB_3_233	Přejemy sej serbske rěčne znajomosće abo zwólniwosć, sej tute přiswojić.
HSB_3_234	Budyšin je při tym politiski a duchowno-kulturny centrum Serbow.
HSB_3_235	Wot dźěćatstwa je wón ze serbskej kulturu a serbskimi nałožkami zwjazany.
HSB_3_236	Što? „W fraku?“, so smějo čmjeła Hana praša.
HSB_3_237	Spěchujemy a podpěramy zhromadne dźěło organow třěšneho zwjazka.
HSB_3_238	Ludźo maja w kotole stejacu wodu za cyle wosebitu.
HSB_3_239	Politisku participaciju wukonjamy přez rěčnicu zajimow a přez poradźowace wuběrki na wšitkich runinach.
HSB_3_240	Nadźijomnje tež Žitawa a Serbja.
HSB_3_241	To su předsydstwo w juristiskim zmysle a wosebići zastupjerjo.
HSB_3_242	„Kak to jenož praju?“ njeje wědomostna přiručka a nima narok, dospołna być.
HSB_3_243	Domowina wuznawa so k swobodnemu demokratiskemu zakładnemu porjadej Zwjazkoweje republiki Němska.
HSB_3_244	Wona zasadźuje so za narodne wědomje, zhromadnosć Serbow a zwjazanosć z domiznu.
HSB_3_245	Pućowacy zeznaja tak rozdźělne kónčiny a njeličomne zajimawostki.
HSB_3_246	Druhdy myslu serbsce abo spěwam z gitaru serbske spěwy.
HSB_3_247	Wot wobdźělnikow so intensiwne samostatne přihotowanje a wospjetowanje wočakuje.
HSB_3_248	Zwjazkowe předsydstwo faworizuje model skrućenja Domowiny w dotalnej prawniskej formje.
HSB_3_249	Mudrych myslow dźě je dosć.
